Date : 2023-07-02 02:35:24
Directory : /home/cold/Documents/programming/rizz/uniclub/backend
Total : 80 files,  11042 codes, 1669 comments, 733 blanks, all 13444 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Models/PasswordResetToken.php                                             | PHP        |         17 |         12 |          7 |         36 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Models/PersonalAccessToken.php                                            | PHP        |         25 |         19 |          8 |         52 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Models/User.php                                                           | PHP        |         49 |         34 |         13 |         96 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Providers/AppServiceProvider.php                                          | PHP        |         12 |          8 |          5 |         25 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Providers/AuthServiceProvider.php                                         | PHP        |         11 |         11 |          5 |         27 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Providers/BroadcastServiceProvider.php                                    | PHP        |         12 |          3 |          5 |         20 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Providers/EventServiceProvider.php                                        | PHP        |         21 |         12 |          6 |         39 |
| /home/cold/Documents/programming/rizz/uniclub/backend/app/Providers/RouteServiceProvider.php                                        | PHP        |         24 |         10 |          7 |         41 |
| /home/cold/Documents/programming/rizz/uniclub/backend/bootstrap/app.php                                                             | PHP        |         17 |         30 |          9 |         56 |
| /home/cold/Documents/programming/rizz/uniclub/backend/composer.json                                                                 | JSON       |         67 |          0 |          1 |         68 |
| /home/cold/Documents/programming/rizz/uniclub/backend/composer.lock                                                                 | JSON       |      8,401 |          0 |          1 |      8,402 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/app.php                                                                | PHP        |         28 |        131 |         31 |        190 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/auth.php                                                               | PHP        |         28 |         74 |         14 |        116 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/broadcasting.php                                                       | PHP        |         36 |         23 |         13 |         72 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/cache.php                                                              | PHP        |         59 |         34 |         19 |        112 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/cors.php                                                               | PHP        |          3 |         29 |          3 |         35 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/database.php                                                           | PHP        |         83 |         47 |         22 |        152 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/filesystems.php                                                        | PHP        |         32 |         32 |         13 |         77 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/hashing.php                                                            | PHP        |         12 |         32 |          9 |         53 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/logging.php                                                            | PHP        |         79 |         34 |         19 |        132 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/mail.php                                                               | PHP        |         54 |         53 |         19 |        126 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/models.php                                                             | PHP        |         43 |        404 |         60 |        507 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/queue.php                                                              | PHP        |         51 |         42 |         17 |        110 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/sanctum.php                                                            | PHP        |         15 |         41 |         12 |         68 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/services.php                                                           | PHP        |         17 |         11 |          7 |         35 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/session.php                                                            | PHP        |         22 |        147 |         33 |        202 |
| /home/cold/Documents/programming/rizz/uniclub/backend/config/view.php                                                               | PHP        |         10 |         20 |          7 |         37 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/factories/UserFactory.php                                            | PHP        |         23 |         11 |          5 |         39 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2014_10_12_000000_create_users_table.php                  | PHP        |         23 |          6 |          4 |         33 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2014_10_12_100000_create_password_reset_tokens_table.php  | PHP        |         19 |          6 |          4 |         29 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2019_08_19_000000_create_failed_jobs_table.php            | PHP        |         23 |          6 |          4 |         33 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2019_12_14_000001_create_personal_access_tokens_table.php | PHP        |         24 |          6 |          4 |         34 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2023_06_11_171925_create__member_table.php                | PHP        |         24 |          6 |          5 |         35 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2023_06_11_174337_create_event_table.php                  | PHP        |         22 |          6 |          4 |         32 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2023_06_11_175250_add_column_to_table_event.php           | PHP        |         19 |          8 |          4 |         31 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2023_06_11_175426_add_column_to_table_event.php           | PHP        |         30 |          7 |          4 |         41 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2023_06_11_180205_modify_column_type_in_table_event.php   | PHP        |         19 |          7 |          4 |         30 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2023_06_12_174711_add_column_to_table_club_token.php      | PHP        |         18 |          8 |          4 |         30 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2023_06_13_212644_adding_description_in_table_event.php   | PHP        |         18 |          8 |          4 |         30 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/migrations/2023_06_14_152754_convert_json_to_array_in_table_name.php | PHP        |         17 |          7 |          5 |         29 |
| /home/cold/Documents/programming/rizz/uniclub/backend/database/seeders/DatabaseSeeder.php                                           | PHP        |         15 |          5 |          5 |         25 |
| /home/cold/Documents/programming/rizz/uniclub/backend/package-lock.json                                                             | JSON       |        682 |          0 |          1 |        683 |
| /home/cold/Documents/programming/rizz/uniclub/backend/package.json                                                                  | JSON       |         13 |          0 |          1 |         14 |
| /home/cold/Documents/programming/rizz/uniclub/backend/phpunit.xml                                                                   | XML        |         29 |          2 |          1 |         32 |
| /home/cold/Documents/programming/rizz/uniclub/backend/public/index.php                                                              | PHP        |         14 |         30 |         12 |         56 |
| /home/cold/Documents/programming/rizz/uniclub/backend/resources/css/app.css                                                         | CSS        |          0 |          0 |          1 |          1 |
| /home/cold/Documents/programming/rizz/uniclub/backend/resources/js/app.js                                                           | JavaScript |          1 |          0 |          1 |          2 |
| /home/cold/Documents/programming/rizz/uniclub/backend/resources/js/bootstrap.js                                                     | JavaScript |          3 |         23 |          7 |         33 |
| /home/cold/Documents/programming/rizz/uniclub/backend/resources/views/welcome.blade.php                                             | PHP        |        118 |          0 |         23 |        141 |
| /home/cold/Documents/programming/rizz/uniclub/backend/routes/api.php                                                                | PHP        |         35 |         11 |         14 |         60 |
| /home/cold/Documents/programming/rizz/uniclub/backend/routes/channels.php                                                           | PHP        |          5 |         10 |          4 |         19 |
| /home/cold/Documents/programming/rizz/uniclub/backend/routes/console.php                                                            | PHP        |          6 |         10 |          4 |         20 |
| /home/cold/Documents/programming/rizz/uniclub/backend/routes/web.php                                                                | PHP        |          5 |         10 |          4 |         19 |
| /home/cold/Documents/programming/rizz/uniclub/backend/tests/CreatesApplication.php                                                  | PHP        |         13 |          3 |          6 |         22 |
| /home/cold/Documents/programming/rizz/uniclub/backend/tests/Feature/ExampleTest.php                                                 | PHP        |         11 |          4 |          5 |         20 |
| /home/cold/Documents/programming/rizz/uniclub/backend/tests/TestCase.php                                                            | PHP        |          7 |          0 |          4 |         11 |
| /home/cold/Documents/programming/rizz/uniclub/backend/tests/Unit/ExampleTest.php                                                    | PHP        |         10 |          3 |          4 |         17 |
| /home/cold/Documents/programming/rizz/uniclub/backend/vendor/spatie/ignition/resources/compiled/ignition.css                        | CSS        |          1 |          2 |          0 |          3 |
| /home/cold/Documents/programming/rizz/uniclub/backend/vendor/spatie/ignition/resources/compiled/ignition.js                         | JavaScript |          6 |          0 |          1 |          7 |
| /home/cold/Documents/programming/rizz/uniclub/backend/vite.config.js                                                                | JavaScript |         10 |          0 |          2 |         12 |
| Total                                                                                                                               |            |     11,042 |      1,669 |        733 |     13,444 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
